62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: June 2015,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See bottom of page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 62 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
ONS AREA ID (1),ODS CODE (2),ACCOUNTABLE PROVIDER,CARE SETTING (3),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
E18000008,RYR,WESTERN SUSSEX HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,90,78.5,11.5,87.22%,,28,7,14,29.5,0.5,6.5,3.5,1
E18000007,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,64.5,56,8.5,86.82%,,17,10.5,12.5,16,1,3.5,2.5,1.5
E18000005,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,79,69,10,87.34%,,17,6,12,34,4.5,1,3,1.5
E18000002,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,63.5,52,11.5,81.89%,,6.5,11.5,20.5,13.5,5.5,3.5,0.5,2
E18000009,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,72.5,63.5,9,87.59%,,18,11,17,17.5,1,3.5,3,1.5
E18000001,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,75.5,66.5,9,88.08%,,24.5,10,11,21,3,1,1.5,3.5
E18000002,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,80.5,62,18.5,77.02%,,14.5,11.5,14,22,6.5,7.5,1.5,3
E18000002,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,60,48.5,11.5,80.83%,,11,4,7.5,26,2.5,3.5,4,1.5
E18000005,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,57,50,7,87.72%,,6,12,7,25,1,3,1,2
E18000008,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,42,32.5,9.5,77.38%,,12,2.5,4.5,13.5,4,2.5,2,1
E18000003,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,73.5,66.5,7,90.48%,,10,6.5,23.5,26.5,1,1,1,4
E18000008,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,64,40.5,23.5,63.28%,,9,7.5,11.5,12.5,5,5.5,4.5,8.5
E18000004,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,105.5,76,29.5,72.04%,,18.5,5,15.5,37,9,4,5.5,11
E18000003,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,58,53,5,91.38%,,13.5,6.5,11,22,3,0.5,1,0.5
E18000002,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31.5,28.5,3,90.48%,,5,3.5,9.5,10.5,1.5,0.5,0,1
E18000005,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,86.5,62.5,24,72.25%,,11,10,20,21.5,4.5,5,3,11.5
E18000002,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,19.5,18,1.5,92.31%,,3.5,2,5.5,7,1,0.5,0,0
E18000006,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,22.5,14,8.5,62.22%,,2,0,6.5,5.5,1.5,1.5,2,3.5
E18000006,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,39.5,32,7.5,81.01%,,6,9,14.5,2.5,3.5,1,2.5,0.5
E18000008,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,65,51,14,78.46%,,7.5,3,14,26.5,2,5.5,1.5,5
E18000004,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ADMITTED,ALL CANCERS,119,98,21,82.35%,,15,13,27.5,42.5,6,9,1.5,4.5
E18000004,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,75.5,55,20.5,72.85%,,10,12,12,21,2,4.5,4.5,9.5
E18000003,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,87,69,18,79.31%,,19,6,13,31,3.5,7,3.5,4
E18000002,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,62.5,53.5,9,85.60%,,15,5.5,12.5,20.5,3.5,4,0,1.5
E18000002,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38.5,29,9.5,75.32%,,14,8,2,5,0.5,5,0,4
E18000002,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,22.5,20.5,2,91.11%,,5.5,2.5,3.5,9,1,0.5,0,0.5
E18000001,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41,32.5,8.5,79.27%,,1,7,8,16.5,3,1.5,1,3
E18000008,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,126.5,88,38.5,69.57%,,14,9.5,18,46.5,4,13,5,16.5
E18000007,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,29.5,15.5,14,52.54%,,4.5,2,1.5,7.5,2.5,6.5,1,4
