31-DAY (DIAGNOSIS TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,
PERIOD: June 2015,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,
Footnotes: See bottom of page,,,,,,,,,,,,,,
"Percentage data was in decimal, so converted",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 31 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,
ONS AREA ID (1),ODS CODE (2),PROVIDER,CARE SETTING (3),CANCER TYPE (4),TOTAL,WITHIN 31 DAYS,AFTER 31 DAYS,,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,AFTER 62 DAYS
E18000008,RYR,WESTERN SUSSEX HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,170,169,1,99.41176471,,169,1,0,0,0
E18000007,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,174,169,5,97.12643678,,169,3,2,0,0
E18000005,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,156,154,2,98.71794872,,154,0,2,0,0
E18000002,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,128,126,2,98.4375,,126,1,0,0,1
E18000009,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,116,116,0,100,,116,0,0,0,0
E18000001,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,142,142,0,100,,142,0,0,0,0
E18000002,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,193,186,7,96.37305699,,186,3,2,1,1
E18000002,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,112,111,1,99.10714286,,111,1,0,0,0
E18000005,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,120,118,2,98.33333333,,118,0,0,0,2
E18000008,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,103,98,5,95.14563107,,98,1,1,2,1
E18000003,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,140,139,1,99.28571429,,139,1,0,0,0
E18000008,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,119,110,9,92.43697479,,110,1,3,5,0
E18000004,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,282,269,13,95.39007092,,269,4,4,1,4
E18000003,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,92,91,1,98.91304348,,91,1,0,0,0
E18000002,RWW,WARRINGTON AND HALTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29,29,0,100,,29,0,0,0,0
E18000005,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,168,157,11,93.45238095,,157,3,2,1,5
E18000002,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52,52,0,100,,52,0,0,0,0
E18000006,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,79,73,6,92.40506329,,73,0,2,0,4
E18000006,RWG,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,85,84,1,98.82352941,,84,1,0,0,0
E18000008,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,137,134,3,97.81021898,,134,1,2,0,0
E18000004,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,ADMITTED,ALL CANCERS,232,213,19,91.81034483,,213,7,5,5,2
E18000004,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,147,138,9,93.87755102,,138,1,5,3,0
E18000003,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,188,182,6,96.80851064,,182,4,1,0,1
E18000002,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,90,90,0,100,,90,0,0,0,0
E18000002,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,91,88,3,96.7032967,,88,1,0,1,1
E18000002,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,33,33,0,100,,33,0,0,0,0
E18000001,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,89,89,0,100,,89,0,0,0,0
E18000008,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,198,188,10,94.94949495,,188,3,1,3,3
E18000007,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,34,34,0,100,,34,0,0,0,0
E18000010,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,185,166,19,89.72972973,,166,6,9,2,2
E18000002,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,93,92,1,98.92473118,,92,1,0,0,0
E18000001,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,157,151,6,96.17834395,,151,2,1,3,0
E18000008,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,110,109,1,99.09090909,,109,0,1,0,0
E18000008,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43,40,3,93.02325581,,40,1,0,1,1
E18000009,RTH,OXFORD UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,277,271,6,97.83393502,,271,3,3,0,0
E18000004,RTG,DERBY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,220,209,11,95,,209,5,3,2,1
