62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: July 2015,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See bottom of page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 62 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
ONS AREA ID (1),ODS CODE (2),ACCOUNTABLE PROVIDER,CARE SETTING (3),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
E18000002,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34.5,30,4.5,86.96%,,10,5.5,10,4.5,1.5,1.5,1.5,0
E18000003,RCF,AIREDALE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29.5,26,3.5,88.14%,,6,8,5,7,0,0.5,1,2
E18000008,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27,22,5,81.48%,,3.5,2.5,3,13,1.5,1.5,2,0
E18000007,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ADMITTED,ALL CANCERS,74,58.5,15.5,79.05%,,15,13.5,10,20,3,5.5,3,4
E18000003,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28,21,7,75.00%,,9,4,5,3,1.5,2,1.5,2
E18000007,R1H,BARTS HEALTH NHS TRUST,ADMITTED,ALL CANCERS,65.5,51,14.5,77.86%,,15,5.5,6,24.5,3.5,2.5,1.5,7
E18000006,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35.5,22,13.5,61.97%,,7,3,3,9,3,4,0.5,6
E18000006,RC1,BEDFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,30.5,27,3.5,88.52%,,8.5,4.5,2,12,1,1,0,1.5
E18000005,RQ3,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0,0,0,0
E18000005,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,4.5,4.5,0,100.00%,,1.5,0,1,2,0,0,0,0
E18000002,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,68.5,60.5,8,88.32%,,29.5,3.5,10.5,17,2,1.5,2,2.5
E18000002,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27.5,24.5,3,89.09%,,5,6.5,5.5,7.5,1.5,1,0,0.5
E18000003,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,62.5,57,5.5,91.20%,,14,8,9.5,25.5,2,1,1.5,1
E18000008,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,82,62.5,19.5,76.22%,,27.5,6.5,9,19.5,4,1.5,1.5,12.5
E18000009,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,56.5,47.5,9,84.07%,,18,9,10,10.5,3.5,1.5,2,2
E18000005,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,21.5,17.5,4,81.40%,,5,3,4,5.5,1,2.5,0.5,0
E18000003,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,60.5,54.5,6,90.08%,,13.5,9,13,19,3.5,0,1,1.5
E18000006,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,67,49,18,73.13%,,15.5,7,10.5,16,6.5,4.5,2.5,4.5
E18000002,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35.5,32,3.5,90.14%,,11.5,2.5,5.5,12.5,0,0.5,1,2
E18000007,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,11.5,11,0.5,95.65%,,2.5,1,1,6.5,0.5,0,0,0
E18000004,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35.5,31,4.5,87.32%,,10,2.5,8.5,10,2,1.5,1,0
E18000001,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44.5,38.5,6,86.52%,,5,5,7.5,21,1.5,3,1,0.5
E18000006,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,89,63,26,70.79%,,23,11,11,18,4.5,8.5,6,7
E18000002,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35.5,32.5,3,91.55%,,9.5,4,9,10,0.5,0.5,0.5,1.5
E18000001,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,76,70.5,5.5,92.76%,,20.5,14,14,22,1.5,2,0.5,1.5
