31-DAY (DIAGNOSIS TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,
PERIOD: July 2015,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,
Footnotes: See bottom of page,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 31 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,
ONS AREA ID (1),ODS CODE (2),PROVIDER,CARE SETTING (3),CANCER TYPE (4),TOTAL,WITHIN 31 DAYS,AFTER 31 DAYS,,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,AFTER 62 DAYS
E18000002,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,70,69,1,98.57%,,69,1,0,0,0
E18000003,RCF,AIREDALE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,55,55,0,100.00%,,55,0,0,0,0
E18000002,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,7,7,0,100.00%,,7,0,0,0,0
E18000008,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40,40,0,100.00%,,40,0,0,0,0
E18000007,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ADMITTED,ALL CANCERS,140,136,4,97.14%,,136,3,0,1,0
E18000003,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,38,1,97.44%,,38,0,0,1,0
E18000007,R1H,BARTS HEALTH NHS TRUST,ADMITTED,ALL CANCERS,139,129,10,92.81%,,129,5,3,1,1
E18000006,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,50,50,0,100.00%,,50,0,0,0,0
E18000006,RC1,BEDFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,71,70,1,98.59%,,70,1,0,0,0
E18000005,RQ3,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,13,13,0,100.00%,,13,0,0,0,0
E18000005,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,4,4,0,100.00%,,4,0,0,0,0
E18000002,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,138,136,2,98.55%,,136,1,1,0,0
E18000002,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,64,64,0,100.00%,,64,0,0,0,0
E18000003,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,121,119,2,98.35%,,119,1,1,0,0
E18000008,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,172,163,9,94.77%,,163,3,2,1,3
E18000009,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,111,111,0,100.00%,,111,0,0,0,0
E18000005,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,54,54,0,100.00%,,54,0,0,0,0
