62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: August 2015,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See bottom of page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 62 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
ONS AREA ID (1),ODS CODE (2),ACCOUNTABLE PROVIDER,CARE SETTING (3),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
E18000002,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36,32.5,3.5,90.28%,,7.5,4,10,11,1.5,1,0,1
E18000003,RCF,AIREDALE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24.5,23.5,1,95.92%,,6,7,9.5,1,0,0.5,0,0.5
E18000008,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23.5,17,6.5,72.34%,,1.5,2,4,9.5,1,1.5,1.5,2.5
E18000007,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ADMITTED,ALL CANCERS,57,42.5,14.5,74.56%,,12,5,8.5,17,3.5,2.5,4.5,4
E18000003,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34,32,2,94.12%,,9,4,10.5,8.5,1,1,0,0
E18000007,R1H,BARTS HEALTH NHS TRUST,ADMITTED,ALL CANCERS,60.5,47.5,13,78.51%,,15.5,5.5,12,14.5,5.5,1.5,3.5,2.5
E18000006,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24.5,17.5,7,71.43%,,5.5,1,5.5,5.5,1.5,3,2,0.5
E18000006,RC1,BEDFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,31,26.5,4.5,85.48%,,8.5,1,8.5,8.5,4,0.5,0,0
E18000005,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0,0.5,0,0,0,0
E18000002,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,67.5,57,10.5,84.44%,,22.5,4.5,8.5,21.5,4.5,3,1.5,1.5
