62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: September 2015,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See bottom of page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE TREATED WITHIN 62 DAYS,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,ODS CODE (1),ACCOUNTABLE PROVIDER,CARE SETTING (2),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39.5,34,5.5,86.08%,,12,5,9,8,2,0.5,1,2
,RCF,AIREDALE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23,20.5,2.5,89.13%,,4.5,4,4,8,0,1.5,0.5,0.5
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36,31.5,4.5,87.50%,,4.5,4,6.5,16.5,1.5,2,1,0
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ADMITTED,ALL CANCERS,72,53.5,18.5,74.31%,,9,6,13.5,25,7,2.5,1,8
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29,25.5,3.5,87.93%,,7,5.5,8.5,4.5,1,1.5,0.5,0.5
,R1H,BARTS HEALTH NHS TRUST,ADMITTED,ALL CANCERS,60.5,42,18.5,69.42%,,6.5,6,5.5,24,6.5,3.5,0,8.5
,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29,19.5,9.5,67.24%,,3.5,2.5,5,8.5,3.5,2,2,2
,RC1,BEDFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,26.5,24,2.5,90.57%,,6,4,4,10,1.5,1,0,0
,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,0.5,0.5,50.00%,,0,0,0,0.5,0,0,0.5,0
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56.5,50.5,6,89.38%,,13.5,7.5,6.5,23,1,2,1.5,1.5
,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27.5,24,3.5,87.27%,,5,5,5,9,1.5,1,0,1
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,59.5,50.5,9,84.87%,,8,6,6,30.5,2,3.5,1.5,2
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,52,40,12,76.92%,,10,9.5,3,17.5,3,3.5,1,4.5
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,68.5,62,6.5,90.51%,,17,13,14,18,1.5,4,0,1
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24.5,22,2.5,89.80%,,8,3,3,8,1,0.5,0,1
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46,39.5,6.5,85.87%,,10.5,6,9.5,13.5,1,3.5,2,0
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,69.5,48.5,21,69.78%,,16.5,4,12.5,15.5,6.5,8,0.5,6
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30,22,8,73.33%,,1.5,4.5,3.5,12.5,0.5,3,1.5,3
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,34.5,4.5,88.46%,,11.5,1,9,13,2.5,1.5,0,0.5
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,54,45.5,8.5,84.26%,,12.5,6.5,11.5,15,4.5,2,1.5,0.5
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42.5,34.5,8,81.18%,,10,1.5,13.5,9.5,2.5,2,0.5,3
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,55.5,34.5,21,62.16%,,4,6,10,14.5,6.5,9,3,2.5
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34.5,31,3.5,89.86%,,8,5,6,12,0.5,1.5,0,1.5
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,79.5,74,5.5,93.08%,,24,12,17,21,2.5,2,0.5,0.5
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,23.5,20,3.5,85.11%,,4.5,1,8,6.5,1,1,0,1.5
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,28.5,24.5,4,85.96%,,1,2,8.5,13,3.5,0.5,0,0
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,96,74.5,21.5,77.60%,,16,11,25,22.5,6.5,5.5,5,4.5
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36.5,32.5,4,89.04%,,9,2.5,8,13,0.5,1.5,0.5,1.5
