62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: December 2015,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,ODS CODE (1),ACCOUNTABLE PROVIDER (4) (5),CARE SETTING (2),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,TREATED WITHIN 62 DAYS,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37,34,3,91.89%,,8.5,6,8.5,11,2.5,0,0.5,0
,RCF,AIREDALE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,16,15.5,0.5,96.88%,,7,2.5,5,1,0,0.5,0,0
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34,27,7,79.41%,,5,5,8,9,2,1,1.5,2.5
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ADMITTED,ALL CANCERS,74,58.5,15.5,79.05%,,14.5,12.5,18.5,13,6.5,3.5,1,4.5
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22,18,4,81.82%,,9,3.5,3.5,2,1.5,0.5,1,1
,R1H,BARTS HEALTH NHS TRUST,ADMITTED,ALL CANCERS,64,56,8,87.50%,,12,9.5,18.5,16,2.5,4,1,0.5
,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26.5,13,13.5,49.06%,,3.5,1.5,1.5,6.5,4.5,1.5,1,6.5
,RC1,BEDFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,33,31,2,93.94%,,7.5,2.5,4,17,0.5,0,0,1.5
,RQ3,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1.5,1.5,0,100.00%,,1.5,0,0,0,0,0,0,0
,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,3.5,3,0.5,85.71%,,0,0,0,3,0.5,0,0,0
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,60,53,7,88.33%,,18,6,10.5,18.5,2,4,1,0
,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24,23,1,95.83%,,5.5,3,4.5,10,0.5,0,0,0.5
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,55,50.5,4.5,91.82%,,9,7.5,12,22,1.5,1,2,0
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,65,56.5,8.5,86.92%,,18,3,11,24.5,3,3,1.5,1
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,55,48.5,6.5,88.18%,,16.5,8,11,13,3.5,2,1,0
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18,15,3,83.33%,,2,3,3,7,1.5,0,0,1.5
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36.5,36,0.5,98.63%,,2.5,9,12,12.5,0.5,0,0,0
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52.5,41,11.5,78.10%,,9,3.5,8.5,20,4.5,1.5,2.5,3
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30,23,7,76.67%,,7.5,2,0.5,13,2,1,1.5,2.5
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25.5,25,0.5,98.04%,,7.5,2.5,6.5,8.5,0,0,0,0.5
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37,33,4,89.19%,,9,5.5,7.5,11,0,1,2,1
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41.5,31,10.5,74.70%,,5.5,5,6.5,14,3.5,4,1.5,1.5
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,60,48,12,80.00%,,9,13,14,12,6,3.5,0,2.5
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35,30,5,85.71%,,9,10,4.5,6.5,3,0,2,0
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,68,59.5,8.5,87.50%,,19,9,10.5,21,2,5,1.5,0
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,25.5,23,2.5,90.20%,,12,3,3.5,4.5,0.5,0,2,0
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,18,15.5,2.5,86.11%,,3,3,4.5,5,1.5,0,0,1
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,86.5,76.5,10,88.44%,,19,11.5,8.5,37.5,4,1,2.5,2.5
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47.5,45,2.5,94.74%,,16.5,7.5,9.5,11.5,0.5,0,0,2
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29,25.5,3.5,87.93%,,7,2,7,9.5,3,0,0,0.5
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,39,31.5,7.5,80.77%,,8,5,7.5,11,3.5,3,0,1
,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,9,7.5,1.5,83.33%,,3,1.5,0.5,2.5,0.5,1,0,0
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,116,87,29,75.00%,,22,10.5,17.5,37,7.5,9,4,8.5
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,58,56,2,96.55%,,10.5,13,11.5,21,0.5,1,0.5,0
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,76.5,61.5,15,80.39%,,22.5,8,13.5,17.5,5.5,4.5,1,4
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,28,22.5,5.5,80.36%,,7,0.5,6,9,1.5,1.5,0.5,2
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,68.5,65,3.5,94.89%,,16,15,13.5,20.5,2,0.5,0.5,0.5
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34,32,2,94.12%,,11.5,3,7,10.5,0.5,1,0,0.5
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,18.5,15,3.5,81.08%,,6,0,2.5,6.5,1,1,1,0.5
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,79.5,64,15.5,80.50%,,16,7,14.5,26.5,8.5,2,1.5,3.5
,RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0.5,0,0,0,0,0,0,0
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38.5,36,2.5,93.51%,,14,3,8,11,2.5,0,0,0
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,83.5,66,17.5,79.04%,,5,8,16,37,6,4.5,5,2
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,72,62,10,86.11%,,23,5,17.5,16.5,3,2,2,3
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34.5,31.5,3,91.30%,,5,4.5,7,15,0.5,1.5,1,0
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,116,101.5,14.5,87.50%,,25,18,26.5,32,3.5,6,1.5,3.5
,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0,0.5,0,0
,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ADMITTED,ALL CANCERS,29,21,8,72.41%,,3,4.5,6,7.5,1.5,2.5,2,2
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,13.5,12,1.5,88.89%,,5,2,2,3,0.5,0,0,1
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,75.5,56.5,19,74.83%,,14.5,11,12,19,7,3,1,8
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,56.5,46.5,10,82.30%,,6.5,10,10,20,1.5,2,1.5,5
,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,53,47,6,88.68%,,15,6,11.5,14.5,1.5,1,2.5,1
,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,10,8,2,80.00%,,3,0,1.5,3.5,1,0,0.5,0.5
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35,32.5,2.5,92.86%,,12.5,1.5,10.5,8,0.5,1,0,1
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27.5,22.5,5,81.82%,,6.5,1.5,7,7.5,1.5,2,1,0.5
