62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: JANUARY 2016,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,ODS CODE (1),ACCOUNTABLE PROVIDER (4) (5),CARE SETTING (2),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,TREATED WITHIN 62 DAYS,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42,31.5,10.5,75.00%,,6,5,10,10.5,6,3,0.5,1
,RCF,AIREDALE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30,26,4,86.67%,,11.5,2,8.5,4,1,0,1,2
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23,19,4,82.61%,,4,2,2,11,2,0.5,0,1.5
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ADMITTED,ALL CANCERS,73.5,53.5,20,72.79%,,12,7,18,16.5,2.5,4,6.5,7
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26,22,4,84.62%,,7.5,6,4,4.5,1,1.5,1.5,0
,R1H,BARTS HEALTH NHS TRUST,ADMITTED,ALL CANCERS,74.5,57,17.5,76.51%,,13,3.5,14,26.5,3.5,7,4,3
,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28.5,18,10.5,63.16%,,4.5,1,6,6.5,3.5,3,1,3
,RC1,BEDFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,34.5,26.5,8,76.81%,,7,3,8,8.5,0.5,1,2.5,4
,RQ3,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1.5,1.5,0,100.00%,,1.5,0,0,0,0,0,0,0
,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,3,3,0,100.00%,,0,0,0.5,2.5,0,0,0,0
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,60.5,49.5,11,81.82%,,19,4.5,9.5,16.5,3.5,3.5,3,1
,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,17,16,1,94.12%,,5.5,1,3.5,6,1,0,0,0
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,50,44.5,5.5,89.00%,,4,7,15,18.5,1,2.5,1.5,0.5
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,54,44.5,9.5,82.41%,,10,2,6.5,26,0.5,2,1,6
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,47.5,37,10.5,77.89%,,11,5,12,9,2.5,4.5,2.5,1
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26,18,8,69.23%,,3,2,4,9,1,2.5,2,2.5
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49.5,43.5,6,87.88%,,14.5,2.5,7.5,19,2.5,0.5,1.5,1.5
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,61,41,20,67.21%,,11,4.5,9.5,16,6,3.5,5,5.5
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22.5,15.5,7,68.89%,,6,2,2.5,5,2,0.5,1.5,3
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,14.5,14,0.5,96.55%,,4,0,2.5,7.5,0.5,0,0,0
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33.5,26,7.5,77.61%,,4.5,6,6.5,9,2,2.5,0,3
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42,34,8,80.95%,,6.5,6,8,13.5,1,3,3,1
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,73.5,51,22.5,69.39%,,13,9,12,17,10.5,4.5,3,4.5
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37.5,32.5,5,86.67%,,6,4,8,14.5,1.5,1.5,0,2
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,78.5,66.5,12,84.71%,,25,10,12.5,19,2.5,6,2.5,1
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,25,22,3,88.00%,,4,2,5,11,1,0,0.5,1.5
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,25.5,22.5,3,88.24%,,4,4.5,6.5,7.5,0.5,0.5,0.5,1.5
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,78.5,63,15.5,80.25%,,11.5,12,10.5,29,3,5,5,2.5
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40,32.5,7.5,81.25%,,13,5,4.5,10,4,0.5,0.5,2.5
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33,24,9,72.73%,,6,5,3,10,1.5,4.5,0.5,2.5
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,40,26,14,65.00%,,8,3.5,7,7.5,1.5,2,5.5,5
,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,16,13.5,2.5,84.38%,,3,0,1.5,9,0,1.5,0,1
