62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: February 2016,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,ODS CODE (1),ACCOUNTABLE PROVIDER (4) (5),CARE SETTING (2),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,TREATED WITHIN 62 DAYS,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47,41,6,87.23%,,14,4,8,15,2.5,2,1,0.5
,RCF,AIREDALE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,21,18,3,85.71%,,4,3.5,1,9.5,2,0.5,0.5,0
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28.5,25.5,3,89.47%,,3,1.5,6,15,1.5,0.5,0.5,0.5
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ADMITTED,ALL CANCERS,76.5,53,23.5,69.28%,,7,11,12.5,22.5,6.5,2.5,4.5,10
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22.5,19,3.5,84.44%,,3.5,4,7,4.5,1,1,1,0.5
,R1H,BARTS HEALTH NHS TRUST,ADMITTED,ALL CANCERS,76.5,57,19.5,74.51%,,10,5.5,17.5,24,2.5,9.5,4,3.5
,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39.5,20,19.5,50.63%,,4.5,1.5,3.5,10.5,2,6.5,2,9
,RC1,BEDFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,31.5,24.5,7,77.78%,,7,5,2.5,10,3.5,1,2,0.5
,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1.5,1.5,0,100.00%,,0,0,0,1.5,0,0,0,0
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,53.5,48.5,5,90.65%,,26.5,0.5,7.5,14,0.5,1,2,1.5
,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29.5,29,0.5,98.31%,,6,3,5.5,14.5,0,0,0,0.5
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52,47,5,90.38%,,12.5,6,9.5,19,1.5,1.5,0,2
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,62,44.5,17.5,71.77%,,10,6,9,19.5,4.5,5.5,0,7.5
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,57.5,51.5,6,89.57%,,27,11,4.5,9,4,0,1,1
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37.5,30.5,7,81.33%,,11,7.5,4,8,4,1,1.5,0.5
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44,42.5,1.5,96.59%,,15.5,6,7,14,0,0,1,0.5
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,63.5,43.5,20,68.50%,,12.5,11.5,6,13.5,7.5,4,3.5,5
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41,36,5,87.80%,,7.5,5,9.5,14,0.5,1.5,2.5,0.5
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23,21.5,1.5,93.48%,,2.5,4,5.5,9.5,0.5,0.5,0,0.5
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45,38.5,6.5,85.56%,,14,7,10,7.5,3.5,1,0.5,1.5
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,28,11,71.79%,,7.5,0,5.5,15,4,4,1,2
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,59.5,43,16.5,72.27%,,21.5,7.5,3,11,5.5,6.5,1.5,3
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31.5,23,8.5,73.02%,,10,2,4,7,2.5,2.5,2,1.5
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,72,62.5,9.5,86.81%,,27,11,6,18.5,1,4,3.5,1
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,37.5,34.5,3,92.00%,,9.5,9,5,11,0.5,0.5,0,2
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,26,20.5,5.5,78.85%,,5,1,5,9.5,1,2,0,2.5
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,81,68.5,12.5,84.57%,,27,8,7.5,26,2,4,3,3.5
,RWV,DEVON PARTNERSHIP NHS TRUST,ADMITTED,ALL CANCERS,0.5,0,0.5,0.00%,,0,0,0,0,0,0.5,0,0
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34,30,4,88.24%,,7.5,8.5,5,9,1,0.5,1,1.5
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27,19,8,70.37%,,4,0.5,9,5.5,4,0,2,2
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,36,24.5,11.5,68.06%,,9,5,3.5,7,1,4,5,1.5
,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,14.5,14,0.5,96.55%,,7.5,1,0.5,5,0,0,0.5,0
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,98.5,76.5,22,77.66%,,21,9.5,11.5,34.5,10.5,5,1.5,5
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,53.5,46,7.5,85.98%,,9,8,11.5,17.5,4.5,3,0,0
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,77.5,56.5,21,72.90%,,24,6.5,12.5,13.5,4,4,4,9
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,27,22.5,4.5,83.33%,,7,2.5,4.5,8.5,1.5,2,1,0
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,80,73,7,91.25%,,28,10,18.5,16.5,1,2,3,1
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43,38.5,4.5,89.53%,,7.5,6,12,13,1.5,1,0.5,1.5
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,17,15,2,88.24%,,6,0,3,6,1,0.5,0,0.5
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,86,65,21,75.58%,,10,11,14.5,29.5,4,6,6,5
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38.5,34,4.5,88.31%,,13,1,12,8,1,3,0,0.5
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,60.5,41.5,19,68.60%,,5,5,8.5,23,2.5,6.5,2.5,7.5
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,65,56,9,86.15%,,22,7,11,16,5,3.5,0,0.5
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28,21,7,75.00%,,10,1.5,1,8.5,2.5,2,2.5,0
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,93.5,81.5,12,87.17%,,12,11,25.5,33,2.5,5.5,3.5,0.5
,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ADMITTED,ALL CANCERS,16.5,14.5,2,87.88%,,3.5,1,1.5,8.5,0.5,0.5,0,1
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18.5,13,5.5,70.27%,,1.5,2,2.5,7,1,1.5,1.5,1.5
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,97.5,75.5,22,77.44%,,20.5,5.5,15,34.5,5,5.5,3,8.5
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,50.5,40.5,10,80.20%,,9,5.5,11.5,14.5,0.5,3,4.5,2
,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,56,48,8,85.71%,,18,9,5.5,15.5,0.5,2,2.5,3
,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,14,12.5,1.5,89.29%,,7,3,0,2.5,0,1,0.5,0
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27.5,23.5,4,85.45%,,14,4,3,2.5,1.5,1,1,0.5
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26,21.5,4.5,82.69%,,1.5,2.5,6.5,11,2,0.5,0,2
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,77.5,70.5,7,90.97%,,28.5,20,8.5,13.5,2.5,1,1.5,2
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,20.5,19.5,1,95.12%,,6.5,3.5,3,6.5,0,0,1,0
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,88,82.5,5.5,93.75%,,26,17.5,12,27,2.5,3,0,0
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,107,91,16,85.05%,,25,17,12.5,36.5,3.5,7.5,3,2
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,ADMITTED,ALL CANCERS,35,29.5,5.5,84.29%,,4,2.5,10.5,12.5,2.5,1,1,1
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,7,5.5,1.5,78.57%,,2,2,1,0.5,0.5,0.5,0.5,0
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,10,6.5,3.5,65.00%,,0,0,1,5.5,1,2,0.5,0
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,51.5,38.5,13,74.76%,,11.5,7.5,6.5,13,4,2,3,4
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23,20,3,86.96%,,9,2.5,3.5,5,0,0.5,0,2.5
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,68,47.5,20.5,69.85%,,5,4,4.5,34,7.5,6.5,3,3.5
,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33.5,21.5,12,64.18%,,5,3.5,4.5,8.5,2.5,2,3,4.5
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26.5,26,0.5,98.11%,,8.5,2,5,10.5,0.5,0,0,0
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,61,45.5,15.5,74.59%,,15.5,4,10.5,15.5,5.5,4.5,3.5,2
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,65,48,17,73.85%,,9,9,8,22,4.5,3.5,3,6
,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,14.5,12.5,2,86.21%,,1.5,0,3,8,1,0,0.5,0.5
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,91,73.5,17.5,80.77%,,32,12,8.5,21,6.5,2.5,2,6.5
,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,89.5,66,23.5,73.74%,,22.5,13.5,8.5,21.5,6,5.5,3.5,8.5
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,61,50,11,81.97%,,16,10,13,11,3.5,3,1.5,3
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,20.5,15,5.5,73.17%,,6,1,5,3,1,2.5,1,1
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33,27.5,5.5,83.33%,,11,8,1,7.5,1,2,1.5,1
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,41,33,8,80.49%,,7,4,7,15,3.5,2,1.5,1
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,29.5,21.5,8,72.88%,,11,5,2,3.5,4,1,2.5,0.5
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47.5,37.5,10,78.95%,,7,7.5,7,16,0,4,1,5
