62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: March 2016,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,ODS CODE (1),ACCOUNTABLE PROVIDER (4) (5),CARE SETTING (2),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,TREATED WITHIN 62 DAYS,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41.5,35,6.5,84.34%,,13,3.5,6,12.5,1.5,1.5,1.5,2
,RCF,AIREDALE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,19,18,1,94.74%,,6,5,3,4,0.5,0,0.5,0
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26.5,22.5,4,84.91%,,7,1.5,6.5,7.5,1.5,1,0.5,1
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ADMITTED,ALL CANCERS,65,51,14,78.46%,,12,6.5,12,20.5,2,3.5,3,5.5
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22.5,20.5,2,91.11%,,6.5,2,3.5,8.5,0,0.5,0,1.5
,R1H,BARTS HEALTH NHS TRUST,ADMITTED,ALL CANCERS,71,58,13,81.69%,,8,9.5,18,22.5,2,2.5,4,4.5
,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,24,15,61.54%,,2,2,4.5,15.5,4.5,1,2,7.5
,RC1,BEDFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,32,27.5,4.5,85.94%,,12,3,4,8.5,0,2,2,0.5
,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0,0.5,0,0,0,0
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52.5,46,6.5,87.62%,,17,3,11.5,14.5,2,1,0,3.5
,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24,22.5,1.5,93.75%,,4.5,1,6,11,0,1,0.5,0
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47.5,43.5,4,91.58%,,12,9,7,15.5,1,0,1.5,1.5
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,55,46,9,83.64%,,8,4,11,23,0,2,3,4
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,45,37.5,7.5,83.33%,,12,8.5,10,7,6.5,0.5,0.5,0
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28,22,6,78.57%,,8,5,3,6,3.5,1.5,0,1
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,55.5,50.5,5,90.99%,,14,3.5,13.5,19.5,0,1.5,2,1.5
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,64.5,46.5,18,72.09%,,11,7,11.5,17,8,2,3.5,4.5
,RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,0.5,0,0,0.5,0,0,0,0
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,31.5,7.5,80.77%,,5,7,6,13.5,3,0.5,1.5,2.5
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,19,17.5,1.5,92.11%,,4,1,6.5,6,0.5,0.5,0,0.5
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31,26.5,4.5,85.48%,,7.5,4.5,6,8.5,1,0,1,2.5
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,45,39,6,86.67%,,10.5,6.5,8.5,13.5,2,3.5,0,0.5
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,61.5,48,13.5,78.05%,,21,8,2,17,6,2.5,0.5,4.5
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27.5,21.5,6,78.18%,,3.5,6,5,7,0,1,2.5,2.5
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,71.5,60.5,11,84.62%,,25.5,10,9.5,15.5,5.5,3.5,1,1
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,20.5,17,3.5,82.93%,,3.5,4,2.5,7,0,0.5,1.5,1.5
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,28.5,23.5,5,82.46%,,6,3,6,8.5,2.5,0.5,0,2
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,77.5,69,8.5,89.03%,,22,6,10.5,30.5,3,2.5,1.5,1.5
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42,37,5,88.10%,,13.5,8.5,7,8,2.5,0.5,0,2
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38.5,33.5,5,87.01%,,8,2,9,14.5,0,3,1.5,0.5
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,25.5,19,6.5,74.51%,,1,1,4.5,12.5,0,3,0,3.5
,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,13.5,12,1.5,88.89%,,4,1.5,4,2.5,1,0,0.5,0
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,110.5,75.5,35,68.33%,,23,6,12,34.5,8.5,10.5,6,10
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,62.5,56,6.5,89.60%,,14,5.5,10.5,26,1,2.5,0,3
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,70.5,57,13.5,80.85%,,28.5,8,8.5,12,1.5,6.5,3.5,2
