62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: April 2016,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,ODS CODE (1),ACCOUNTABLE PROVIDER (4) (5),CARE SETTING (2),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,TREATED WITHIN 62 DAYS,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42,35,7,83.33%,,5.5,9,7.5,13,3.5,0.5,2,1
,RCF,AIREDALE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27.5,25.5,2,92.73%,,7,3,9.5,6,1.5,0,0.5,0
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,19.5,15,4.5,76.92%,,0.5,1,2,11.5,1,2.5,0,1
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ADMITTED,ALL CANCERS,72.5,57.5,15,79.31%,,12.5,8,18,19,3,2.5,2,7.5
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34.5,29,5.5,84.06%,,12.5,6,2,8.5,2,2.5,0.5,0.5
,R1H,BARTS HEALTH NHS TRUST,ADMITTED,ALL CANCERS,62.5,52.5,10,84.00%,,9,7,11.5,25,5,2.5,1,1.5
,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31.5,20.5,11,65.08%,,8,2.5,1,9,4,1.5,0.5,5
,RC1,BEDFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,32,26.5,5.5,82.81%,,7,6,6,7.5,3.5,1,0.5,0.5
,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2,1.5,0.5,75.00%,,0,0,0,1.5,0.5,0,0,0
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,55,49,6,89.09%,,14.5,6,9,19.5,3,2.5,0,0.5
,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26,23,3,88.46%,,4,6,3,10,0,2,1,0
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47,40.5,6.5,86.17%,,7,3,9,21.5,2,2.5,1,1
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,56,40.5,15.5,72.32%,,4,2.5,9,25,5,2,2,6.5
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,50,43,7,86.00%,,13,9,8,13,2.5,3,0.5,1
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34.5,28.5,6,82.61%,,11.5,3,5.5,8.5,3.5,1.5,1,0
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40.5,37.5,3,92.59%,,10,6,9,12.5,0.5,1.5,1,0
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56.5,42,14.5,74.34%,,10.5,9.5,7.5,14.5,7,4.5,1,2
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34.5,31,3.5,89.86%,,12.5,4.5,3.5,10.5,1,0.5,0,2
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,24.5,21.5,3,87.76%,,4.5,2.5,7,7.5,0,0.5,1.5,1
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35,28,7,80.00%,,9,4.5,7,7.5,1.5,2.5,0,3
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38.5,28.5,10,74.03%,,4,4,4,16.5,1.5,6,1,1.5
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,61.5,42,19.5,68.29%,,17.5,8,1.5,15,7,6,5,1.5
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41,33.5,7.5,81.71%,,13.5,2,6,12,1,2.5,1.5,2.5
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,66.5,57.5,9,86.47%,,24,6.5,11.5,15.5,2,6,1,0
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,22,20.5,1.5,93.18%,,6,2,4,8.5,0.5,0,0.5,0.5
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,21.5,18.5,3,86.05%,,3,4,4.5,7,2,1,0,0
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,82.5,71.5,11,86.67%,,23,12,20,16.5,2,0.5,5,3.5
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27.5,22,5.5,80.00%,,10,2,1,9,1,2.5,0.5,1.5
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,33,6,84.62%,,9.5,3,5,15.5,2.5,1.5,0.5,1.5
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,36.5,26.5,10,72.60%,,6,3,4.5,13,4.5,0.5,3,2
,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,21,18,3,85.71%,,4.5,3.5,3,7,2,0,1,0
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,114.5,78.5,36,68.56%,,24,4.5,13,37,4.5,15.5,6,10
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,55,43,12,78.18%,,12,10,5.5,15.5,8,3.5,0.5,0
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,67.5,48,19.5,71.11%,,14.5,13,6.5,14,5.5,5,3,6
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,30,26,4,86.67%,,5.5,2.5,7,11,1,1.5,0,1.5
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,70.5,65.5,5,92.91%,,22.5,10.5,18,14.5,0.5,2,1,1.5
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43.5,35.5,8,81.61%,,9.5,3,6,17,4,0.5,0,3.5
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,16,14,2,87.50%,,6,0,3.5,4.5,0.5,0,1.5,0
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,85,70,15,82.35%,,16,7,19.5,27.5,2.5,4,1.5,7
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42.5,38,4.5,89.41%,,11,5,6,16,1,1.5,2,0
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,70.5,48.5,22,68.79%,,4.5,4,9,31,8,3,4,7
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,65,55,10,84.62%,,18,11,12,14,5.5,3,1,0.5
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,20,15.5,4.5,77.50%,,3.5,3,5,4,2,0.5,1,1
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,104.5,93,11.5,89.00%,,19,15,35,24,3,1.5,4.5,2.5
,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ADMITTED,ALL CANCERS,29,27,2,93.10%,,5,1,6,15,1.5,0,0,0.5
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,9,7.5,1.5,83.33%,,1.5,1,2.5,2.5,1,0.5,0,0
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,104,81,23,77.88%,,15,12.5,13.5,40,6,5,6,6
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,49,35.5,13.5,72.45%,,11.5,2.5,2.5,19,5,2,2,4.5
,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,50,43,7,86.00%,,8,5.5,7.5,22,1.5,2.5,0,3
,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,9.5,8,1.5,84.21%,,0.5,1,2,4.5,0.5,1,0,0
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40,36,4,90.00%,,13,4,7,12,0,2,1,1
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46.5,38,8.5,81.72%,,7.5,0,7,23.5,3,3.5,1,1
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,85.5,78,7.5,91.23%,,22,15,21.5,19.5,4.5,0.5,1,1.5
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,28,27,1,96.43%,,10.5,5,4,7.5,0,0.5,0.5,0
