62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
42583,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,ODS CODE (1),ACCOUNTABLE PROVIDER (4) (5),CARE SETTING (2),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,TREATED WITHIN 62 DAYS,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40,35.5,4.5,88.75%,,10,4,9.5,12,1.5,0,2.5,0.5
,RCF,AIREDALE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25,23.5,1.5,94.00%,,10,3,6.5,4,1.5,0,0,0
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29.5,24,5.5,81.36%,,3.5,1.5,4.5,14.5,2.5,1.5,1,0.5
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ADMITTED,ALL CANCERS,63,49,14,77.78%,,11,9,9.5,19.5,2.5,3.5,2.5,5.5
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23.5,21.5,2,91.49%,,10.5,2.5,5.5,3,0.5,1,0.5,0
,R1H,BARTS HEALTH NHS TRUST,ADMITTED,ALL CANCERS,74,60,14,81.08%,,8,8.5,13.5,30,4,2.5,2.5,5
,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36,24.5,11.5,68.06%,,4,2.5,10.5,7.5,5,1,1,4.5
,RC1,BEDFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,42,31.5,10.5,75.00%,,17,2.5,2,10,2,3,2,3.5
,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2.5,2.5,0,100.00%,,0,0,0,2.5,0,0,0,0
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,57,50,7,87.72%,,17.5,3,8,21.5,3,0,2.5,1.5
,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25,23,2,92.00%,,3,3.5,8,8.5,1,1,0,0
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,66.5,57.5,9,86.47%,,15,12.5,5.5,24.5,4.5,3,1.5,0
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,64.5,43,21.5,66.67%,,11,5,6,21,2.5,8,2,9
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,59,52.5,6.5,88.98%,,20,8,9,15.5,0,1.5,4,1
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40.5,31.5,9,77.78%,,10,4,8,9.5,0.5,4,2.5,2
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43.5,39,4.5,89.66%,,8.5,4,7,19.5,3,0.5,0,1
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,70,53.5,16.5,76.43%,,10.5,9,15.5,18.5,4,4,4.5,4
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35,28.5,6.5,81.43%,,6.5,3,7,12,0,1.5,1,4
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,19,17,2,89.47%,,2,3.5,3.5,8,0,1.5,0.5,0
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,34.5,31.5,3,91.30%,,13.5,0.5,7.5,10,1.5,0.5,0.5,0.5
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40.5,30,10.5,74.07%,,6,1.5,9.5,13,2.5,2.5,4,1.5
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,74,60,14,81.08%,,22.5,13.5,9,15,7.5,3,1,2.5
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,44,38.5,5.5,87.50%,,8,4.5,9,17,1.5,1,2,1
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,82.5,71.5,11,86.67%,,29,16.5,12,14,4,1.5,1.5,4
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,32,30,2,93.75%,,4,5,9.5,11.5,1.5,0,0,0.5
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,32,26,6,81.25%,,3,3,6.5,13.5,1,2.5,0,2.5
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,96.5,75.5,21,78.24%,,21,10,13.5,31,2.5,8.5,4,6
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35,30.5,4.5,87.14%,,7,5.5,5,13,3,1.5,0,0
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33,25,8,75.76%,,3.5,3,6,12.5,1,4.5,0.5,2
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,34,22.5,11.5,66.18%,,10.5,3,1.5,7.5,2.5,3,2.5,3.5
,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,15.5,14.5,1,93.55%,,4,3.5,3.5,3.5,0.5,0,0,0.5
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,123,88.5,34.5,71.95%,,28,7,18,35.5,8,13,3,10.5
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,60,45,15,75.00%,,17,5.5,6.5,16,5,3,3,4
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,98,81,17,82.65%,,33.5,10,16,21.5,7,0.5,3,6.5
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,26,20.5,5.5,78.85%,,5,2,4.5,9,2,1.5,0,2
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,85.5,80.5,5,94.15%,,25.5,14,16,25,1.5,1,1,1.5
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35.5,32,3.5,90.14%,,8.5,5.5,7.5,10.5,1,0,0,2.5
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,18.5,15.5,3,83.78%,,3,3,4.5,5,1,1.5,0,0.5
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,71,59,12,83.10%,,7,11,13,28,3,1.5,3.5,4
,RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0.5,0,0,0,0,0,0,0
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,31.5,27,4.5,85.71%,,7,5,7.5,7.5,1.5,1,1,1
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,80,59.5,20.5,74.38%,,5.5,4.5,12,37.5,4,7,2,7.5
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,51.5,46,5.5,89.32%,,11,8,10,17,1.5,0.5,1,2.5
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33.5,27,6.5,80.60%,,5.5,2.5,8.5,10.5,2,1,1,2.5
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,113,101.5,11.5,89.82%,,12,28.5,26,35,3.5,5,0.5,2.5
,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ADMITTED,ALL CANCERS,24.5,23,1.5,93.88%,,3.5,4.5,2,13,0,0,1,0.5
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,10,7.5,2.5,75.00%,,3,1,1.5,2,0.5,2,0,0
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,92.5,76.5,16,82.70%,,24.5,6,18,28,3,3.5,4.5,5
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,59,47.5,11.5,80.51%,,9.5,4.5,12.5,21,3,2,2.5,4
,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,47,39.5,7.5,84.04%,,7.5,12,7.5,12.5,1,1,2.5,3
,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,15,12,3,80.00%,,3.5,3.5,3.5,1.5,2.5,0.5,0,0
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,48,44.5,3.5,92.71%,,19,2.5,12,11,2,1.5,0,0
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23.5,18.5,5,78.72%,,3.5,2.5,5,7.5,2,0.5,1,1.5
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,91,84,7,92.31%,,22.5,10.5,11,40,3.5,2,1,0.5
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27,25.5,1.5,94.44%,,12,5,4,4.5,0,0.5,0.5,0.5
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,77.5,66.5,11,85.81%,,18.5,12,14.5,21.5,7.5,2,1,0.5
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,118,91.5,26.5,77.54%,,22,15,26,28.5,10.5,8.5,5,2.5
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,ADMITTED,ALL CANCERS,55.5,42.5,13,76.58%,,12,3,9.5,18,2.5,7,1.5,2
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,11.5,8.5,3,73.91%,,1.5,3,0.5,3.5,1.5,0.5,0.5,0.5
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,12,11.5,0.5,95.83%,,0,0,3.5,8,0,0,0.5,0
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,51,41.5,9.5,81.37%,,9,5,7,20.5,2,0.5,3,4
