31-DAY (DIAGNOSIS TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,
42644,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,
,ODS CODE (1),PROVIDER (4) (5),CARE SETTING (2),CANCER TYPE,TOTAL,WITHIN 31 DAYS,AFTER 31 DAYS,TREATED WITHIN 31 DAYS,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,AFTER 62 DAYS
,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,102,99,3,97.06%,,99,1,1,0,1
,RCF,AIREDALE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,39,0,100.00%,,39,0,0,0,0
,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,6,6,0,100.00%,,6,0,0,0,0
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47,45,2,95.74%,,45,0,2,0,0
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ADMITTED,ALL CANCERS,123,122,1,99.19%,,122,0,0,1,0
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33,33,0,100.00%,,33,0,0,0,0
,R1H,BARTS HEALTH NHS TRUST,ADMITTED,ALL CANCERS,184,180,4,97.83%,,180,2,1,0,1
,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,58,55,3,94.83%,,55,2,0,0,1
,RC1,BEDFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,57,56,1,98.25%,,56,1,0,0,0
,RQ3,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,6,6,0,100.00%,,6,0,0,0,0
,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2,2,0,100.00%,,2,0,0,0,0
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,114,114,0,100.00%,,114,0,0,0,0
,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,71,64,7,90.14%,,64,5,2,0,0
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,105,100,5,95.24%,,100,3,0,2,0
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,108,105,3,97.22%,,105,0,0,3,0
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,102,102,0,100.00%,,102,0,0,0,0
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,48,48,0,100.00%,,48,0,0,0,0
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,117,116,1,99.15%,,116,0,0,0,1
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,154,150,4,97.40%,,150,2,2,0,0
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,98,94,4,95.92%,,94,2,2,0,0
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42,41,1,97.62%,,41,0,1,0,0
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,80,78,2,97.50%,,78,1,0,0,1
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,105,104,1,99.05%,,104,0,1,0,0
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,114,104,10,91.23%,,104,6,2,2,0
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,60,58,2,96.67%,,58,0,1,0,1
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,137,137,0,100.00%,,137,0,0,0,0
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,30,30,0,100.00%,,30,0,0,0,0
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,42,42,0,100.00%,,42,0,0,0,0
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,174,165,9,94.83%,,165,2,4,0,3
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,64,63,1,98.44%,,63,0,1,0,0
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,53,51,2,96.23%,,51,1,1,0,0
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,71,60,11,84.51%,,60,1,1,4,5
,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,33,33,0,100.00%,,33,0,0,0,0
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,218,207,11,94.95%,,207,5,4,1,1
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,138,136,2,98.55%,,136,0,1,1,0
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,101,99,2,98.02%,,99,0,1,1,0
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,53,53,0,100.00%,,53,0,0,0,0
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,145,145,0,100.00%,,145,0,0,0,0
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,76,76,0,100.00%,,76,0,0,0,0
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,39,39,0,100.00%,,39,0,0,0,0
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,184,174,10,94.57%,,174,6,2,0,2
,RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,19,19,0,100.00%,,19,0,0,0,0
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,66,64,2,96.97%,,64,1,1,0,0
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,234,220,14,94.02%,,220,4,3,3,4
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,95,94,1,98.95%,,94,0,0,0,1
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41,41,0,100.00%,,41,0,0,0,0
