62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: November 2016,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,ODS CODE (1),ACCOUNTABLE PROVIDER (4) (5),CARE SETTING (2),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,TREATED WITHIN 62 DAYS,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39.5,33,6.5,83.54%,,13,7,7,6,1.5,2.5,0.5,2
,RCF,AIREDALE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29,27,2,93.10%,,9,3,5.5,9.5,0.5,1.5,0,0
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40,36,4,90.00%,,4,1.5,9,21.5,0.5,2,0,1.5
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ADMITTED,ALL CANCERS,66,56,10,84.85%,,17,6.5,12.5,20,2,2.5,2,3.5
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32,31,1,96.88%,,10,6,8.5,6.5,1,0,0,0
,R1H,BARTS HEALTH NHS TRUST,ADMITTED,ALL CANCERS,80,65.5,14.5,81.88%,,19.5,6,11,29,2.5,4.5,5,2.5
,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36,20.5,15.5,56.94%,,2,2.5,4,12,4,2,5.5,4
,RC1,BEDFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,39.5,33,6.5,83.54%,,12,4,6.5,10.5,3,2.5,1,0
,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,3.5,2.5,1,71.43%,,0,0.5,0,2,0,0,1,0
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,60,50.5,9.5,84.17%,,19.5,2.5,11.5,17,1,0,4.5,4
,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33,31.5,1.5,95.45%,,8,4.5,3.5,15.5,0,0,0.5,1
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,67.5,54,13.5,80.00%,,13,5,19,17,5.5,5.5,0.5,2
,RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,0,0,0.5,0.5,0,0,0,0
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,62,48.5,13.5,78.23%,,13,7,12.5,16,5,3.5,1,4
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,66.5,56,10.5,84.21%,,20,6,11,19,4.5,2.5,2,1.5
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26,15,11,57.69%,,3,2,1,9,2.5,3,2,3.5
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47.5,42,5.5,88.42%,,20,3,9,10,0.5,1.5,1,2.5
