62-DAY (URGENT GP REFERRAL TO TREATMENT) WAIT FOR FIRST TREATMENT: ALL CANCERS,,,,,,,,,,,,,,,,,
PERIOD: January 2017,,,,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,,,,
NOTE: THE NHS CANCER PLAN ALL CANCER 62-DAY REFERRAL TO TREATMENT STANDARD DATASET INCLUDES THOSE PATIENTS SEPARATELY IDENTIFIED IN THE 31-DAY REFERRAL TO TREATMENT STANDARD FOR RARE CANCERS.,,,,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,PERCENTAGE ,,NUMBER OF PEOPLE RECEIVING FIRST TREATMENT FOR CANCER,,,,,,,
,ODS CODE (1),ACCOUNTABLE PROVIDER (4) (5),CARE SETTING (2),CANCER TYPE,TOTAL,WITHIN 62 DAYS,AFTER 62 DAYS,TREATED WITHIN 62 DAYS,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,63 TO 76 DAYS,77 TO 90 DAYS,91 TO 104 DAYS ,AFTER 104 DAYS
,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,38,28.5,9.5,75.00%,,2.5,4,9.5,12.5,2.5,3,3,1
,RCF,AIREDALE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,20,16.5,3.5,82.50%,,4.5,5,1.5,5.5,0.5,0.5,2,0.5
,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32.5,26,6.5,80.00%,,4,0,7,15,1.5,1,1,3
,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",ADMITTED,ALL CANCERS,84,70.5,13.5,83.93%,,19,8,16.5,27,3.5,3.5,1,5.5
,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26.5,24.5,2,92.45%,,6,4,7,7.5,0.5,1,0.5,0
,R1H,BARTS HEALTH NHS TRUST,ADMITTED,ALL CANCERS,64,54,10,84.38%,,11,6,14,23,6,1.5,1.5,1
,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35,21,14,60.00%,,4,2,2,13,4,2.5,3.5,4
,RC1,BEDFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,29.5,27,2.5,91.53%,,10,4,5,8,1.5,0,1,0
,RQ3,BIRMINGHAM CHILDREN'S HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1,1,0,100.00%,,1,0,0,0,0,0,0,0
,RLU,BIRMINGHAM WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,1.5,1.5,0,100.00%,,0,0,0,1.5,0,0,0,0
,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,58,51.5,6.5,88.79%,,20.5,8,9.5,13.5,0,5.5,0,1
,RMC,BOLTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,19.5,18.5,1,94.87%,,2.5,1,4.5,10.5,1,0,0,0
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,52,39.5,12.5,75.96%,,3,5,14,17.5,6.5,3,2,1
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,67,55,12,82.09%,,10.5,6,10.5,28,2.5,3.5,3.5,2.5
,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,69.5,60,9.5,86.33%,,17,9,15.5,18.5,3,3,1.5,2
,RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,39,32,7,82.05%,,6,5,9.5,11.5,2,1.5,0,3.5
,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,56.5,51,5.5,90.27%,,22,7,9.5,12.5,2,2,0,1.5
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,68.5,53.5,15,78.10%,,10,10.5,8,25,4.5,5,2,3.5
,RW3,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,21.5,17,4.5,79.07%,,6.5,0,2.5,8,0.5,1,0,3
,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,26.5,21.5,5,81.13%,,3,5,2,11.5,2,2,0,1
,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,46.5,33.5,13,72.04%,,9.5,3.5,4,16.5,6,2.5,3.5,1
,RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29.5,24.5,5,83.05%,,3.5,6,4.5,10.5,3.5,0,0.5,1
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,75.5,54.5,21,72.19%,,20,14,9.5,11,6.5,7.5,2.5,4.5
,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,37,33,4,89.19%,,10,4,7.5,11.5,1,0,1,2
,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,75.5,64.5,11,85.43%,,17,7,17,23.5,5.5,4,1,0.5
,RJ6,CROYDON HEALTH SERVICES NHS TRUST,ADMITTED,ALL CANCERS,25,21.5,3.5,86.00%,,5,4.5,2,10,1.5,1,0.5,0.5
,RN7,DARTFORD AND GRAVESHAM NHS TRUST,ADMITTED,ALL CANCERS,29.5,22.5,7,76.27%,,4,3,5,10.5,2,3,2,0
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,80,55.5,24.5,69.38%,,11,15,7.5,22,8,8,2.5,6
,RP5,DONCASTER AND BASSETLAW HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,36,32,4,88.89%,,6,6,3,17,2,1,1,0
,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29,21.5,7.5,74.14%,,7,2,6,6.5,3.5,3,0,1
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,ALL CANCERS,61,40,21,65.57%,,15,7.5,8.5,9,5.5,5.5,2.5,7.5
,RJN,EAST CHESHIRE NHS TRUST,ADMITTED,ALL CANCERS,16,15.5,0.5,96.88%,,3,3,3.5,6,0.5,0,0,0
,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,120.5,71.5,49,59.34%,,21,5,11.5,34,18,9.5,13.5,8
,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,64.5,56.5,8,87.60%,,10,9,14.5,23,2.5,1.5,2,2
,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,79,66.5,12.5,84.18%,,26,5,12,23.5,1.5,3.5,1.5,6
,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,36,29,7,80.56%,,11,3.5,1,13.5,2,1,1,3
,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,90.5,78.5,12,86.74%,,24,10.5,17,27,4,2,2.5,3.5
,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,43,37.5,5.5,87.21%,,12,6,5.5,14,2.5,1.5,0.5,1
,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,14.5,10.5,4,72.41%,,1,1,2,6.5,0.5,1.5,0,2
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,87.5,51,36.5,58.29%,,7.5,4.5,8.5,30.5,15,3,5,13.5
,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40.5,34.5,6,85.19%,,11,1.5,7.5,14.5,1.5,3,0,1.5
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,64.5,38,26.5,58.91%,,8,0.5,9,20.5,9,7.5,3,7
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,62,53.5,8.5,86.29%,,17,5.5,10,21,4.5,2,1.5,0.5
,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,20,18.5,1.5,92.50%,,3,0.5,5,10,0,1.5,0,0
,RR1,HEART OF ENGLAND NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,125.5,106.5,19,84.86%,,13.5,15,29,49,5.5,6,1,6.5
,RQQ,HINCHINGBROOKE HEALTH CARE NHS TRUST,ADMITTED,ALL CANCERS,21,18,3,85.71%,,1,0,7,10,1,0.5,1,0.5
,RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,9.5,7.5,2,78.95%,,1.5,1,1.5,3.5,1,0.5,0.5,0
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,94,65.5,28.5,69.68%,,18,7.5,11.5,28.5,8,9,5.5,6
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,53,41,12,77.36%,,6,1,12,22,3,3.5,2,3.5
,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,60,51,9,85.00%,,6,8,14,23,4,1,2,2
,R1F,ISLE OF WIGHT NHS TRUST,ADMITTED,ALL CANCERS,10,7.5,2.5,75.00%,,3,0.5,1,3,1,1,0.5,0
,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,48,42.5,5.5,88.54%,,13,4,3.5,22,3,1.5,0,1
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35,29.5,5.5,84.29%,,8,1.5,6,14,3,1.5,0.5,0.5
,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,94.5,78.5,16,83.07%,,30.5,4,18.5,25.5,7,2,3,4
,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,29,28,1,96.55%,,12.5,2.5,5.5,7.5,0.5,0.5,0,0
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,77.5,56,21.5,72.26%,,19.5,9.5,8.5,18.5,10,7,1,3.5
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,117.5,95,22.5,80.85%,,23.5,13.5,34.5,23.5,10,4,4.5,4
,RJ2,LEWISHAM AND GREENWICH NHS TRUST,ADMITTED,ALL CANCERS,49.5,39,10.5,78.79%,,9,5.5,9.5,15,2.5,2,1,5
,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,12,9.5,2.5,79.17%,,0,0.5,3.5,5.5,1,0.5,0.5,0.5
,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,13.5,12,1.5,88.89%,,0,1,1,10,0,0.5,0.5,0.5
,R1K,LONDON NORTH WEST HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,45.5,30.5,15,67.03%,,6,4,9.5,11,5,5,1.5,3.5
,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,33,30,3,90.91%,,9,4.5,8,8.5,0.5,0.5,1,1
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,ALL CANCERS,53.5,34,19.5,63.55%,,3,2,7.5,21.5,6,5.5,4,4
,RPA,MEDWAY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30.5,18.5,12,60.66%,,2.5,4,3,9,3.5,5,1.5,2
,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,22,19.5,2.5,88.64%,,10,1,4,4.5,1.5,0.5,0,0.5
,RQ8,MID ESSEX HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,83,54.5,28.5,65.66%,,8,8,10.5,28,14.5,6.5,2,5.5
,RXF,MID YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,70.5,61,9.5,86.52%,,10,9,12,30,4,0,2,3.5
,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,17,16,1,94.12%,,1,2,3,10,0,0,0.5,0.5
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,112.5,89.5,23,79.56%,,24,11,19.5,35,5.5,8.5,2.5,6.5
,RVJ,NORTH BRISTOL NHS TRUST,ADMITTED,ALL CANCERS,111.5,100,11.5,89.69%,,36,11.5,23.5,29,1.5,5,1.5,3.5
,RNL,NORTH CUMBRIA UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,42,35,7,83.33%,,10,5,11,9,2.5,1,2,1.5
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,13,12,1,92.31%,,2,1,1,8,0,0,0,1
,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35.5,27,8.5,76.06%,,10,3,5.5,8.5,3.5,2.5,2.5,0
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,49.5,38,11.5,76.77%,,8,5.5,6,18.5,2.5,1.5,2.5,5
,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,31.5,26,5.5,82.54%,,7,7,3,9,2.5,2,0.5,0.5
,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,51,36.5,14.5,71.57%,,3,5,10,18.5,4.5,3,3.5,3.5
,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40,36,4,90.00%,,5.5,4,7.5,19,1,0,1.5,1.5
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,100.5,72,28.5,71.64%,,13,12.5,13,33.5,5,9.5,1,13
,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,125.5,89.5,36,71.31%,,42.5,11,12,24,9,6,9,12
,RGM,PAPWORTH HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,2.5,2,0.5,80.00%,,0,0,1,1,0,0,0,0.5
,RW6,PENNINE ACUTE HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,51.5,44.5,7,86.41%,,9,8,6.5,21,5,1,0.5,0.5
,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,61.5,53.5,8,86.99%,,16,6,15.5,16,0,3.5,1.5,3
,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,95,63,32,66.32%,,15,9.5,18.5,20,10.5,8.5,1.5,11.5
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,71,65,6,91.55%,,30,5.5,4,25.5,0.5,2.5,1,2
,RHU,PORTSMOUTH HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,65.5,56.5,9,86.26%,,7,6.5,17,26,3.5,4,1.5,0
,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,18,15,3,83.33%,,2.5,2,6.5,4,1,0,1,1
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,63,49,14,77.78%,,10,5,8.5,25.5,7,1,2,4
,RT3,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,5,1,4,20.00%,,0,0,0.5,0.5,1,0,2,1
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,102.5,86.5,16,84.39%,,51,12,10.5,13,6,4.5,2.5,3
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,126.5,104.5,22,82.61%,,37.5,22.5,21.5,23,6.5,5,5,5.5
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,73,59.5,13.5,81.51%,,23,3,12.5,21,4.5,4,3,2
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,29.5,24.5,5,83.05%,,4,2.5,9.5,8.5,3,0.5,1,0.5
,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,4.5,4,0.5,88.89%,,0,0,1,3,0,0,0,0.5
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,42,32,10,76.19%,,3,5,8.5,15.5,1,0,4,5
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,23,21,2,91.30%,,3.5,3,5.5,9,2,0,0,0
,RM3,SALFORD ROYAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,27.5,23.5,4,85.45%,,3.5,2,7,11,1.5,2.5,0,0
,RNZ,SALISBURY NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,30.5,23,7.5,75.41%,,6,4,5,8,2.5,3.5,1.5,0
,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,ADMITTED,ALL CANCERS,37,29,8,78.38%,,4,4,7,14,2.5,2,2,1.5
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,114,89,25,78.07%,,26,10.5,16.5,36,7,7.5,4.5,6
,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,59,50,9,84.75%,,11.5,8,6,24.5,2.5,4,0.5,2
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,69.5,49,20.5,70.50%,,7,10,12,20,10.5,3,2,5
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,113.5,93,20.5,81.94%,,18,21,25.5,28.5,8.5,6.5,5,0.5
,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,7,5,2,71.43%,,0.5,0,1,3.5,1.5,0.5,0,0
,RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,35.5,27,8.5,76.06%,,6,3,7,11,5,2.5,1,0
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,40.5,30.5,10,75.31%,,8.5,2,10,10,2,2.5,1.5,4
,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,20,17,3,85.00%,,3,0.5,4.5,9,1.5,1.5,0,0
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,49,43,6,87.76%,,6,5.5,14.5,17,3.5,1,0.5,1
,RBN,ST HELENS AND KNOWSLEY HOSPITAL SERVICES NHS TRUST,ADMITTED,ALL CANCERS,46.5,43,3.5,92.47%,,20.5,1,12.5,9,0.5,1,1.5,0.5
,RWJ,STOCKPORT NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,32,30,2,93.75%,,5,4,6.5,14.5,0,1.5,0.5,0
,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,ADMITTED,ALL CANCERS,48,43.5,4.5,90.63%,,13,6,11,13.5,1.5,0,0.5,2.5
,RMP,TAMESIDE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,20,18.5,1.5,92.50%,,5.5,1,3.5,8.5,1,0,0,0.5
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,41,31.5,9.5,76.83%,,4,6.5,9.5,11.5,1.5,5.5,2,0.5
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,11.5,9,2.5,78.26%,,0.5,0,2.5,6,0.5,1,0,1
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,0.5,0.5,0,100.00%,,0,0,0.5,0,0,0,0,0
,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,47.5,38.5,9,81.05%,,7,6,9.5,16,3.5,2.5,1,2
,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,25,21,4,84.00%,,8,1,4,8,1,2,0,1
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,ALL CANCERS,101,86.5,14.5,85.64%,,16.5,10,22.5,37.5,4.5,1,3,6
,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ADMITTED,ALL CANCERS,24.5,23,1.5,93.88%,,4.5,4,5.5,9,0,1,0,0.5
,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",ADMITTED,ALL CANCERS,28,21,7,75.00%,,10,3,3,5,3.5,1.5,0.5,1.5
