31-DAY WAIT FOR SECOND OR SUBSEQUENT TREATMENT: RADIOTHERAPY TREATMENTS,,,,,,,,,,,,,,
42856,,,,,,,,,,,,,,
"BASIS: PROVIDER BASED INCLUDING WELSH CROSS-BORDER PATIENTS AND ""UNKNOWNS""",,,,,,,,,,,,,,
DEFINITIONS: AMD 23/2011,,,,,,,,,,,,,,
Footnotes: See Cover page,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
PART A: ADMITTED CARE,,,,,,,,,,,,,,
,,,,,NUMBER OF PEOPLE RECEIVING SECOND OR SUBSEQUENT TREATMENT FOR CANCER,,,PERCENTAGE,,NUMBER OF PEOPLE RECEIVING SECOND OR SUBSEQUENT TREATMENT,,,,
,ODS CODE (1),PROVIDER (4) (5),CARE SETTING (2),TREATMENT TYPE,TOTAL,WITHIN 31 DAYS,AFTER 31 DAYS,TREATED WITHIN 31 DAYS,,WITHIN 31 DAYS,32 TO 38 DAYS,39 TO 48 DAYS,49 TO 62 DAYS,AFTER 62 DAYS
,R1H,BARTS HEALTH NHS TRUST,ADMITTED,RADIOTHERAPY,2,2,0,100.00%,,2,0,0,0,0
,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,RADIOTHERAPY,18,17,1,94.44%,,17,1,0,0,0
,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,4,4,0,100.00%,,4,0,0,0,0
,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,9,9,0,100.00%,,9,0,0,0,0
,RTG,DERBY TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,30,27,3,90.00%,,27,1,2,0,0
,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,ADMITTED,RADIOTHERAPY,2,1,1,50.00%,,1,0,0,1,0
,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,11,11,0,100.00%,,11,0,0,0,0
,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,13,13,0,100.00%,,13,0,0,0,0
,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,20,11,9,55.00%,,11,0,4,4,1
,RWA,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ADMITTED,RADIOTHERAPY,58,58,0,100.00%,,58,0,0,0,0
,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,ADMITTED,RADIOTHERAPY,39,39,0,100.00%,,39,0,0,0,0
,RGQ,IPSWICH HOSPITAL NHS TRUST,ADMITTED,RADIOTHERAPY,7,7,0,100.00%,,7,0,0,0,0
,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,8,8,0,100.00%,,8,0,0,0,0
,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,ADMITTED,RADIOTHERAPY,23,23,0,100.00%,,23,0,0,0,0
,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,ADMITTED,RADIOTHERAPY,19,17,2,89.47%,,17,2,0,0,0
,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,11,11,0,100.00%,,11,0,0,0,0
,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,ADMITTED,RADIOTHERAPY,4,4,0,100.00%,,4,0,0,0,0
,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,54,53,1,98.15%,,53,1,0,0,0
,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ADMITTED,RADIOTHERAPY,84,81,3,96.43%,,81,1,0,1,1
,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,RADIOTHERAPY,114,113,1,99.12%,,113,0,0,0,1
,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,7,7,0,100.00%,,7,0,0,0,0
,RK9,PLYMOUTH HOSPITALS NHS TRUST,ADMITTED,RADIOTHERAPY,8,8,0,100.00%,,8,0,0,0,0
,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,13,13,0,100.00%,,13,0,0,0,0
,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,7,7,0,100.00%,,7,0,0,0,0
,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ADMITTED,RADIOTHERAPY,5,5,0,100.00%,,5,0,0,0,0
,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,13,13,0,100.00%,,13,0,0,0,0
,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,28,28,0,100.00%,,28,0,0,0,0
,RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,ADMITTED,RADIOTHERAPY,2,2,0,100.00%,,2,0,0,0,0
,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,10,9,1,90.00%,,9,0,0,1,0
,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,23,22,1,95.65%,,22,1,0,0,0
,RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,ADMITTED,RADIOTHERAPY,5,5,0,100.00%,,5,0,0,0,0
,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,32,30,2,93.75%,,30,0,1,1,0
,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,11,9,2,81.82%,,9,1,0,1,0
,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,2,2,0,100.00%,,2,0,0,0,0
,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,5,5,0,100.00%,,5,0,0,0,0
,RBV,THE CHRISTIE NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,20,20,0,100.00%,,20,0,0,0,0
,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,1,1,0,100.00%,,1,0,0,0,0
,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,15,15,0,100.00%,,15,0,0,0,0
,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,15,15,0,100.00%,,15,0,0,0,0
,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ADMITTED,RADIOTHERAPY,4,4,0,100.00%,,4,0,0,0,0
,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,ADMITTED,RADIOTHERAPY,11,11,0,100.00%,,11,0,0,0,0
